﻿Wskaźnik;Jednostka;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998
pralki i wirówki elektryczne domowe;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;75,5;91,4;95,5;113,2;144,7;186,6;290,5;349,9;411,3;439,5;476,7;449,1;947,2;1258;1871,1;2821,6;3621,9;4471,2;6904,4;22 093,9;83 530,0;235 050,0;.;.;.;.;.;.;.
automaty pralnicze;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;68,8;119,1;216,9;322,1;347,2;379,5;427,8;696,9;971,2;1501;2260;2690;3229,2;5055;15 058,5;.;.;.;.;.;.;.;.;.
pozostałe;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;117,8;171,4;133;89,2;92,3;97,2;21,3;250,3;286,8;370,1;561,6;931,9;1242;1849,4;7035,4;.;.;.;.;.;.;.;.;.
chłodziarki i zamrażarki domowe;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;226;240,9;287;362;407,8;594,3;611,2;671,1;524,6;692,3;676,2;641,7;917,3;1484,2;3116,7;4356,8;5139,9;5997;8815,5;22 828,0;155 130,0;256 420,0;.;.;.;.;.;.;.
odkurzacze elektryczne;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;40,2;41;45;55,1;58,9;83,9;80,5;94;98,2;118,2;116,3;106,9;199,4;254,4;275,7;373,4;585,9;780,7;1294,6;3897,8;23 870,0;42 740,0;.;.;.;.;.;.;.
maszyny do szycia domowe;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;47,5;44,2;42,6;49,2;59,3;72,1;76,5;82,9;89,7;120;115,9;142,6;269,2;452,3;662,1;933,6;1065,3;1135,5;1479,5;6808,2;11 930,0;64 100,0;.;.;.;.;.;.;.
naczynia kuchenne i gospodarcze emaliowane i aluminiowe;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;133,6;146,4;173,5;180,7;199,9;209,5;213,9;350,1;526,6;642,4;1020;1380;1596,9;2712,5;7516,2;.;.;373 705,9;258 078,5;306 613,4;414 000,0;380 564,2;445 623,9;.
pozostałe;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;675;732;1044,4;1088;1392,9;1537,8;1556,3;1842,4;1975,1;1877,2;1885,9;2338,6;3588,6;4760,2;5718,1;8129,4;11 323,1;14 158,8;22 069,6;75 038,9;286 390,0;491 470,0;1 088 600,8;1 103 062,5;1 488 059,8;1 428 600,0;1 693 677,9;2 524 873,4;.
sprzęt szklany, ceramiczny i z tworzyw sztucznych dla gospodarstwa domowego;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;341,3;364,6;480,5;570,8;712,4;954,2;1152,2;1415;1593,3;1893,6;2080,5;2210,3;3450;5060,5;6254,3;6846,4;8149,2;9048,8;13 993,8;44 441,2;178 990,0;1 132 510,0;744 446,1;349 040,7;367 319,1;473 300,0;447 623,9;532 556,8;.
materiały do remontu i konserwacji mieszkania;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;301,2;343,1;383,7;441,5;482,7;575,5;772,3;892,7;704,5;713,3;641;713;1216,5;1498,4;2660,6;2697,1;4048;5890,6;10 233,4;32 593,1;346 060,0;.;.;.;.;.;.;.;.
opał;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1244,9;1351;1410;1472,4;1545,1;1635,9;1636,5;1715,7;1745,5;1774,2;1953,6;1867,7;6501,1;5795,5;5368,2;5850,6;9454,1;15 080,0;34 604,4;47 351,6;620 520,0;1 944 500,0;2 702 914,9;2 958 991,5;2 572 504,0;3 019 500,0;3 676 853,0;4 920 999,9;5 437 704,9
artykuły medyczne, farmaceutyczne oraz pozostałe artykuły dla ochrony zdrowia;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;455;428,9;485,5;570;577,8;806,5;890,8;959,6;1144,7;1225,4;1423,8;1599,3;1994,2;2176,8;2157,6;2966,8;3839,9;4045,4;5918,1;33 437,4;178 990,0;256 410,0;833 315,9;1 743 087,9;3 314 401,4;4 514 800,0;6 480 086,5;7 754 602,8;9 035 135,5
środki do prania i mycia;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;361,4;376;362,7;409,2;480,3;564,1;601,8;680,8;695,1;808,3;934,9;1140,8;1944,4;2742,3;2267,5;3278;4667,1;6422,9;10 911,5;27 560,9;393 788,0;517 100,0;1 201 683,2;1 699 839,8;1 510 200,5;3 261 300,0;3 222 367,2;3 337 176,1;.
artykuły kosmetyczne i perfumeryjne;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;301,2;310,2;357,4;454,7;523,9;665,1;810,8;1015,2;957,6;1093,7;1195,3;926,9;1575,4;2120,3;2415,5;3029;3575,1;5429,3;10 171,7;18 159,8;310 262,0;423 100,0;739 646,6;807 298,6;1 170 466,6;1 298 600,0;1 442 659,5;1 624 776,6;.
wydawnictwa;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;522;557,6;652,1;713,6;859,4;972;981;1107,8;1249,4;1294,6;1399,2;1782,5;2871,6;4085,1;4855,8;6763,5;8548,7;12 029,6;18 802,3;43 226,5;393 790,0;790 620,0;1 232 097,3;1 488 613,4;2 010 001,3;2 536 700,0;2 671 092,2;3 165 247,9;3 924 012,6
przybory i materiały piśmienne, kreślarskie i malarskie;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;261;300,2;339,6;413,7;450,3;525,6;596,5;632,4;632,8;750,9;704,6;784,3;977,2;1611,4;2047,4;2282,1;3275,7;4542,2;7089,4;20 171,1;143 200,0;192 310,0;62 122,6;470 088,4;530 834,2;969 900,0;973 459,9;985 896,9;995 755,9
instrumenty muzyczne oraz części i akcesoria muzyczne;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;72,3;76,8;73,4;75,2;76,6;88,2;91,6;93,4;67,8;60,1;73,1;142,6;139,6;183,7;284,9;352,7;532,6;603,3;986,3;2910,3;11 930,0;21 370,0;24 350,6;18 265,4;27 766,7;42 200,0;50 500,0;85 975,6;123 321,3
elektroniczny sprzęt powszechnego użytku oraz części i wyposażenie;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;783,1;836,3;970,1;1084,7;1340,8;1567,2;1612,3;1743,9;1848,6;1874,6;2328,2;2566,8;4427,1;6657,8;9009;10 497,9;11 591,2;14 995,9;28 295,9;100 549,7;692 110,0;2 136 820,0;2 372 736,5;2 181 094,0;2 158 362,7;2 115 400,0;2 915 641,7;4 890 328,8;.
odbiorniki radiofoniczne;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;132,9;150;182,9;219;219,5;283,5;326,7;362,7;360,1;426,8;451,1;427,8;707,9;890,5;1380,1;1680,5;1731;2058,2;2650,8;8503,7;35 800,0;42 740,0;.;.;.;.;.;.;.
stereofoniczne odbiorniki radiofoniczne;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;44,3;55,9;70;85;110,9;139,1;142,6;275,7;412,1;630,8;750;760;958,1;1171,3;3644,4;.;.;.;.;.;.;.;.;.
odbiorniki telewizyjne;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;497,4;494,1;612,1;661,7;775,9;877,1;956,5;1052,5;1145;986,8;1217,8;1212,1;1864,5;3222,9;4474,5;5062,2;5699,1;8339,1;16 274,8;55 855,3;393 790,0;1 431 670,0;.;.;.;.;.;.;.
odbiorniki z ekranem odbioru kolorowego;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;195,9;243;326,3;437,7;395,7;566,4;641,7;1077,4;2287,3;3471,8;4020;4420;6990,7;13 192,4;46 643,6;.;.;.;.;.;.;.;.;.
magnetofony i dyktafony;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;210,4;277,7;272,3;246,3;313,9;270,9;263,8;349;480,6;639,1;930;960;1100,1;1787,8;6554,8;53 097,4;96 160,0;.;.;.;.;.;.;.
aparaty fotograficzne;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;17,8;19,8;19;23,1;27,5;36,9;41,6;31,3;32,7;40,9;37,9;42,8;129,6;155,5;333,8;311,2;372,8;425,8;554,8;2785,6;23 860,0;64 110,0;85 227,1;60 884,7;79 670,5;166 500,0;309 200,0;556 560,0;.
zabawki i gry towarzyskie;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;140,6;119,2;143,5;186,9;246,6;302,6;369,7;426,9;436,4;479,2;448,9;570,4;917,3;1130,8;1294,9;1493,8;1890,8;2271,1;3287,3;8223;59 660,0;106 840,0;316 557,6;213 096,1;222 950,3;346 000,0;428 300,0;689 134,7;855 905,3
wyroby jubilerskie, złotnicze, grawerskie i inne;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;200,8;201;178,5;206,1;348,8;420,7;693;764,5;656,4;1164,8;1373,1;1283,4;1635,2;2219,3;2454,5;2468,9;2849,6;3335,6;5733,2;21 684,6;107 400,0;170 950,0;158 278,8;133 946,2;163 333,6;746 800,0;819 100,0;1 283 529,7;.
zegarki osobiste;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;142,6;243,9;283,6;257,4;262;232,5;285,2;592,2;605,1;673,9;630;720;851,7;1417,9;5945,5;.;.;.;.;.;.;.;.;.
pozostałe;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;278,1;449,1;480,9;399;902,8;1140,6;998,2;1043;1614,2;1780,6;1838,9;2129,6;2483,9;4315,3;15 739,1;.;.;.;.;.;.;.;.;.
sprzęt sportowy i turystyczny;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;85,3;90,8;89,3;119,7;153,5;185,6;270,8;382;331,9;345,9;409,9;499,1;419,2;481,7;584,7;767,6;1038,6;1438,8;2554,1;7750,3;83 530,0;85 470,0;206 980,0;115 680,8;161 246,5;361 300,0;481 600,0;539 392,0;924 517,9
środki transportu oraz części i wyposażenie;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1305,1;1609,8;1911,3;2143,7;2506,2;2794,3;3283,4;4810,3;5821,3;6846,5;7589,4;9922;14 487,8;20 962,8;23 310,5;24 569,2;31 105,5;37 259,9;63 619,5;278 699,2;1 515 490,0;2 435 970,0;3 920 444,3;17 785 012,7;28 499 533,2;35 204 300,0;47 350 897,5;56 632 239,6;66 647 425,5
samochody osobowe ogólnego przeznaczenia;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;506,7;698,9;823,2;900,5;876,4;1174;1520,4;2126,6;2147,6;2000,2;1878,7;2786,9;4989,1;8079;8846,1;8536,4;9705,8;11 177,9;19 792,3;100 635,7;322 190,0;1 217 990,0;633 115,2;3 718 399,6;7 173 429,7;9 971 000,0;14 657 370,0;19 054 581,0;23 837 280,8
motocykle i motorowery;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;155;139,6;178,4;186,5;207;232,8;268,8;239,8;275,1;319,6;287,1;285,2;578,3;975,6;817,1;705,4;932,1;1206,5;2096;7539,1;11 930,0;21 370,0;12 175,3;13 162,5;34 390,8;27 400,0;30 140,0;34 661,0;34 834,3
rowery (bez dziecięcych);tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;66,7;77,4;92,3;121,5;141,1;156,9;175,3;198,3;200,7;221,8;242,5;213,9;598,3;579,6;657,2;912,9;1278,3;1738,8;2589,2;9657,3;71 600,0;42 740,0;60 876,5;250 087,0;579 471,3;1 063 400,0;1 185 691,0;1 349 316,4;1 717 679,8
paliwa do silników niskoprężnych;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;214,3;257,9;348,9;426,1;650,6;707,2;827,2;1307,6;1790,3;2411,7;3518,5;4710,9;6979,7;9626,2;10 425,0;11 109,0;14 436,0;17 307,3;32 127,1;136 654,0;704 050,0;918 830,0;2 763 791,5;11 203 774,5;17 047 580,2;19 627 600,0;25 986 942,4;29 478 488,9;33 932 811,6
pozostałe środki transportu oraz części i wyposażenie;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;362,4;436;468,5;509,1;631,1;523,4;491,7;938;1407,6;1893,2;1662,6;1925,1;1342,4;1702,4;2565,1;3305,5;4753,3;5829,4;7014,9;24 213,1;405 720,0;235 040,0;450 485,8;2 599 589,1;3 664 661,2;4 514 900,0;5 490 754,1;6 715 192,3;7 124 819,0
wyroby tytoniowe;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1325,2;1411;1447,9;1533,9;1684,3;2152,6;3139,2;3287,4;3384,1;3484,9;4054,4;6203,1;8425,5;10 658,1;11 365,5;12 219,9;16 378,3;20 109,7;27 494,5;82 581,2;656 310,0;854 730,0;2 422 883,3;2 037 049,9;2 722 498,7;3 506 600,0;4 191 234,9;5 201 322,5;6 340 412,1
pozostałe;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1594,5;1641,4;1938,6;2105;2106,7;2421,2;2318,5;3185,8;3845,3;4825;5721,6;7725,4;10 480,7;16 919,4;22 082,6;25 719,0;27 295,0;49 041,4;113 250,4;382 613,3;811 440,0;1 602 611,4;4 348 264,7;3 705 644,7;3 557 633,9;2 904 600,0;1 325 080,4;1 997 324,1;1 107 121,9
niekonsumpcyjnych;tys. zł;.;.;.;.;.;660;880;1240;1660;2070;2240;2670;2970;3360;3670;3760;4460;5010;5450;5960;5511,9;6089,5;7201,8;8100,8;8839,6;9756,4;11 230,4;12 623,3;14 844,5;15 235,4;14 382,7;17 642,6;32 412,9;40 276,8;48 270,6;55 562,7;65 882,1;86 546,2;151 455,9;494 614,3;1 988 410,0;3 283 250,0;6 100 035,1;8 423 560,0;11 740 515,3;16 619 300,0;22 641 000,0;27 881 906,4;42 880 700,0
materiały budowlane (łącznie z drzewnymi);tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;982;1105,1;1233,2;1384,3;1424,9;1545,9;1771,5;1969;2113,6;2061;2032,3;2152,4;7040,1;8977,7;9857,9;10 827,1;13 750,1;18 120,8;28 806,9;114 095,8;362 686,0;590 990,0;867 425,0;1 123 170,0;1 688 720,0;2 951 400,0;4 238 600,0;4 446 300,0;6 373 000,0
produkty naftowe (bez nafty oświetleniowej);tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;56,5;59,3;81,9;91,4;145,2;189,7;230,4;249,4;382,2;482,5;589,8;793,9;1374,3;2001,8;2004,8;2651,2;3823,6;5530,3;10 102,1;40 508,9;404 641,4;577 850,0;1 019 925,9;1 782 810,0;2 468 560,0;3 255 100,0;4 491 800,0;6 608 400,0;11 433 400,0
maszyny, urządzenia i narzędzia rolnicze;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;714,4;912,8;1190,2;1308,2;1418,5;1453,6;2141,1;2286,5;2625;3072,2;2038,7;2258,3;5252,9;7535,8;9681,8;12 178,7;14 543,9;17 975,6;30 352,0;93 267,1;336 836,7;640 230,0;1 060 186,1;1 256 200,0;1 904 790,0;2 534 700,0;3 205 200,0;3 394 500,0;5 281 800,0
nawozy sztuczne i wapniowe;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;962,7;917;1129,3;1160;1224,7;1280,6;1437,8;1634,8;1592,9;1642,5;1626,7;1834,8;4035,4;3931;4225,7;4045,6;4734,8;6395,8;13 131,2;32 457,5;135 808,4;219 980,0;400 162,3;467 760,0;807 110,0;1 165 900,0;1 379 100,0;1 415 800,0;1 655 900,0
pestycydy;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;75;81,4;123,9;142,3;180,2;203,6;197,6;214,2;157,7;218,3;208,8;229,4;262,5;382,6;365,6;767,6;1101,9;2008,9;4997,5;9173,9;95 046,0;187 150,0;398 332,3;660 120,0;921 870,0;1 081 700,0;1 383 400,0;1 395 800,0;2 085 000,0
wyroby hutnicze, metalowe i elektrotechniczne;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;825,4;901,2;1008,8;1124,5;1312,4;1448,6;1875,2;2144,5;2675,7;2204,3;2503,4;3122,7;5938;7809,7;10 087,7;12 216,0;13 045,5;17 733,3;29 730,8;106 600,2;383 564,3;673 070,0;1 024 195,9;1 300 570,0;1 435 920,0;1 977 700,0;2 620 600,0;3 685 100,0;6 228 900,0
pasze;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;814,6;902,2;1227;1553,4;1733,6;2013,8;1778,3;2204,1;3052,1;3044,6;2758,9;3934,3;4738,8;4643,9;6228;6969,3;7572;9978,8;18 068,7;50 056,9;156 686,7;233 110,0;850 344,9;1 129 330,0;1 468 640,0;2 155 800,0;3 186 900,0;3 819 500,0;4 539 800,0
nasiona siewne, drzewka, sadzonki i inne;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;466,5;511,5;541,7;609,7;650,9;654,8;725,7;785,6;850,8;924,4;981,2;1111,5;1805,4;2013,8;2233,7;2435,8;2773,6;3200,3;5543,3;11 628,8;25 451,6;36 120,0;68 930,4;121 010,0;140 300,0;262 300,0;377 200,0;524 400,0;797 400,0
zwierzęta hodowlane;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;176,5;225;286,1;338,7;391,4;440,7;516,3;766,7;730,6;844,1;905,8;1376,1;1306,2;1397,6;1950;2234,1;2727,2;3321,4;6482,3;15 096,5;27 241,2;16 410,0;63 440,4;81 300,0;154 510,0;202 500,0;276 800,0;411 700,0;668 900,0
pozostałe towary;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;438,3;474;379,7;388,3;357,8;525,1;556,5;368,5;663,9;741,5;737,1;829,2;659,3;1582,9;1635,4;1237,3;1809,5;2281;4241,1;21 728,7;60 447,7;108 340,0;347 091,9;501 290,0;750 095,3;1 032 200,0;1 481 400,0;2 180 406,4;3 816 600,0
branża ogólnospożywcza;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;11 869 200,0;18 498 510,0;24 175 350,0;31 568 940,0;46 805 500,0;54 589 600,0;67 897 600,0;.
branża owocowo-warzywna;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;456 510,0;672 670,0;1 160 420,0;3 391 700,0;3 730 900,0;5 117 800,0;5 679 600,0;.
branża mięsna;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;3 652 060,0;4 641 440,0;6 672 400,0;5 478 910,0;5 935 500,0;7 463 400,0;8 519 500,0;.
branża rybna;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;182 600,0;269 070,0;773 610,0;521 800,0;678 300,0;853 000,0;905 600,0;.
branża piekarniczo-ciastkarska;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;456 510,0;605 410,0;1 160 420,0;1 695 850,0;1 865 400,0;1 919 200,0;2 323 500,0;.
branża napojów alkoholowych;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2 282 540,0;2 488 890,0;4 061 460,0;6 131 160,0;6 613 800,0;7 036 900,0;7 745 000,0;.
branża kosmetyków i wyrobów toaletowych;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;456 510,0;1 278 080,0;1 837 330,0;1 434 950,0;2 204 600,0;2 985 400,0;4 130 700,0;.
branża wyrobów włókienniczych;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;913 020,0;1 278 080,0;2 224 130,0;1 956 750,0;1 865 500,0;2 345 600,0;2 581 700,0;.
branża wyrobów odzieżowych;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2 282 540,0;3 027 030,0;3 771 350,0;4 565 760,0;5 257 100,0;7 250 200,0;9 035 800,0;.
branża obuwnicza i wyrobów skórzanych;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;913 010,0;1 143 540,0;2 030 730,0;1 434 950,0;1 865 400,0;2 558 900,0;3 098 000,0;.
branża meblowa i sprzętu oświetleniowego;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1 826 030,0;2 421 620,0;2 901 040,0;3 652 600,0;4 409 200,0;5 331 000,0;7 015 600,0;.
branża artykułów radiowo-telewizyjnych i sprzętu gospodarstwa domowego;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;3 195 550,0;3 901 500,0;3 771 350,0;4 957 110,0;6 953 000,0;7 036 900,0;9 552 100,0;.
branża artykułów piśmiennych i książek;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;913 020,0;941 740,0;1 353 820,0;2 348 100,0;3 052 500,0;3 625 100,0;4 130 700,0;.
branża paliwowa;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;14 892 010,0;12 653 670,0;32 560 300,0;41 368 700,0;50 084 200,0;.
branża pojazdów mechanicznych;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;8 606 420,0;23 611 480,0;17 467 300,0;31 133 100,0;40 486 900,0;.
pozostałe branże;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;16 251 680,5;26 099 730,3;17 309 549,5;25 046 444,4;28 320 700,0;32 625 900,0;34 979 300,0;.
Dynamika sprzedaży detalicznej towarów (ceny stałe);rok poprzedni=100;.;109,2;104,3;103,1;98,4;118,9;109,9;115,8;116,4;104,7;109,7;100,6;107,2;104,2;104,6;104;106,5;106,9;107,6;105,8;104,2;108,1;112,4;110,1;108,6;112,3;107,2;106;101,2;102,6;101,4;95,4;82,6;108,1;104,4;103,5;105,9;104;103,9;97,3;82,6;103,7;107,9;107;103;102,3;104,5;106,8;102,6
konsumpcyjnych;rok poprzedni=100;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;95,4;90,8;104,5;105,7;107,7;102,1;101,2;103,4;106,5;101,5
żywność;rok poprzedni=100;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;108,4;107,2;107,2;104,8;101,5;107,6;109,5;111;107,3;111,5;108,8;101,1;103,1;104,6;99,7;90,6;85,7;102,7;101,7;103,9;107,6;103,9;105,6;85,7;103;105,5;103,8;106,6;102,4;103;102,5;105,5;104
napoje alkoholowe;rok poprzedni=100;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;107,4;110;117,4;102,3;118,4;116,2;115,7;94,4;99,8;103,5;70,3;106,9;101,9;104;106,6;103,8;99,1;96,9;90,2;98,7;113;103,5;109,2;100,5;100,1;97,4;99;97,5
towary nieżywnościowe;rok poprzedni=100;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;104,9;106,7;108;106,6;106,5;109,6;113,4;107,5;111,8;112,4;105,9;109,3;98,3;102,9;102;106,8;74,8;115,4;105,9;102,3;106,4;106,3;104,9;104,3;81,3;101,9;107,5;108,1;102,3;100,2;105,5;108,7;100,7
niekonsumpcyjnych;rok poprzedni=100;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;105,2;118,4;110,8;107,1;109,2;99,4;96,6;115,1;100,1;101,6;106,3;78,9;108,8;107,5;102,9;102,2;102;103,6;113,5;39,1;94,2;137,8;99,9;112,8;114,2;114,8;109,9;109,6
